Date	Price	Open	High	Low	Change %
1-Oct-15	"14,670.00"	"14,625.00"	"14,683.00"	"14,625.00"	0.14
30-Sep-15	"14,650.00"	"14,645.00"	"14,675.00"	"14,635.00"	-0.22
29-Sep-15	"14,682.50"	"14,702.50"	"14,732.50"	"14,662.50"	-0.1
28-Sep-15	"14,697.50"	"14,682.50"	"14,707.50"	"14,657.50"	0.09
25-Sep-15	"14,685.00"	"14,665.00"	"14,705.00"	"14,665.00"	0.26
24-Sep-15	"14,647.50"	"14,647.50"	"14,647.50"	"14,647.50"	0
23-Sep-15	"14,647.50"	"14,552.50"	"14,652.50"	"14,552.50"	1.03
22-Sep-15	"14,497.50"	"14,462.50"	"14,502.50"	"14,462.50"	0.29
21-Sep-15	"14,455.00"	"14,420.00"	"14,463.00"	"14,420.00"	0.56
18-Sep-15	"14,375.00"	"14,445.00"	"14,485.00"	"14,365.00"	-0.57
17-Sep-15	"14,457.50"	"14,442.50"	"14,460.50"	"14,437.50"	0.02
16-Sep-15	"14,455.00"	"14,395.00"	"14,465.00"	"14,395.00"	0.33
15-Sep-15	"14,407.50"	"14,341.50"	"14,412.50"	"14,341.50"	0.42
14-Sep-15	"14,347.50"	"14,307.50"	"14,347.50"	"14,306.50"	0.12
11-Sep-15	"14,330.00"	"14,295.00"	"14,335.00"	"14,280.00"	-0.02
10-Sep-15	"14,332.50"	"14,282.50"	"14,337.50"	"14,257.50"	0.5
9-Sep-15	"14,261.50"	"14,281.50"	"14,281.50"	"14,216.50"	-0.13
8-Sep-15	"14,280.00"	"14,240.00"	"14,298.00"	"14,240.00"	0.23
7-Sep-15	"14,247.50"	"14,212.50"	"14,251.50"	"14,202.50"	0.58
4-Sep-15	"14,165.00"	"14,155.00"	"14,193.00"	"14,155.00"	-0.03
3-Sep-15	"14,169.00"	"14,126.00"	"14,169.00"	"14,126.00"	0.28
2-Sep-15	"14,130.00"	"14,085.00"	"14,140.00"	"14,085.00"	0.23
1-Sep-15	"14,097.50"	"14,047.50"	"14,099.50"	"14,042.50"	0.34
31-Aug-15	"14,050.00"	"13,975.00"	"14,055.00"	"13,975.00"	0.48
28-Aug-15	"13,982.50"	"13,977.50"	"14,038.50"	"13,967.50"	-0.07
27-Aug-15	"13,992.50"	"14,082.50"	"14,137.50"	"13,982.50"	-0.92
26-Aug-15	"14,122.50"	"14,072.50"	"14,125.50"	"14,072.50"	0.41
25-Aug-15	"14,065.00"	"14,050.00"	"14,090.00"	"14,035.00"	0.13
24-Aug-15	"14,047.00"	"13,953.00"	"14,048.00"	"13,953.00"	0.75
21-Aug-15	"13,942.50"	"13,877.50"	"13,949.50"	"13,877.50"	0.52
20-Aug-15	"13,870.00"	"13,835.00"	"13,880.00"	"13,805.00"	0.2
19-Aug-15	"13,842.50"	"13,807.50"	"13,842.50"	"13,802.50"	0.18
18-Aug-15	"13,818.00"	"13,795.00"	"13,853.00"	"13,795.00"	0.22
17-Aug-15	"13,787.50"	"13,787.50"	"13,787.50"	"13,787.50"	0
14-Aug-15	"13,787.50"	"13,747.50"	"13,790.50"	"13,737.50"	0.31
13-Aug-15	"13,745.00"	"13,765.00"	"13,795.00"	"13,714.00"	-0.29
12-Aug-15	"13,785.00"	"13,655.00"	"13,830.00"	"13,655.00"	1.36
11-Aug-15	"13,600.00"	"13,535.00"	"13,600.00"	"13,515.00"	0.38
10-Aug-15	"13,549.00"	"13,531.00"	"13,549.00"	"13,526.00"	0.07
7-Aug-15	"13,539.50"	"13,526.50"	"13,543.50"	"13,523.50"	-0.01
6-Aug-15	"13,541.50"	"13,525.50"	"13,541.50"	"13,510.50"	0.2
5-Aug-15	"13,514.00"	"13,496.00"	"13,520.00"	"13,481.00"	0.21
4-Aug-15	"13,485.50"	"13,492.50"	"13,512.50"	"13,477.50"	-0.11
3-Aug-15	"13,500.00"	"13,495.00"	"13,515.00"	"13,474.00"	-0.2
31-Jul-15	"13,527.50"	"13,462.50"	"13,527.50"	"13,461.50"	0.45
30-Jul-15	"13,467.50"	"13,457.50"	"13,472.50"	"13,452.50"	0.09
29-Jul-15	"13,456.00"	"13,421.00"	"13,459.00"	"13,421.00"	-0.05
28-Jul-15	"13,462.50"	"13,442.50"	"13,466.50"	"13,441.50"	0.03
27-Jul-15	"13,459.00"	"13,441.00"	"13,466.00"	"13,441.00"	0.1
24-Jul-15	"13,445.00"	"13,425.00"	"13,462.00"	"13,418.00"	0.17
23-Jul-15	"13,422.50"	"13,377.50"	"13,422.50"	"13,372.50"	0.34
22-Jul-15	"13,377.50"	"13,332.50"	"13,382.50"	"13,332.50"	0.25
21-Jul-15	"13,344.50"	"13,344.50"	"13,344.50"	"13,344.50"	0
20-Jul-15	"13,344.50"	"13,344.50"	"13,344.50"	"13,344.50"	0
17-Jul-15	"13,344.50"	"13,344.50"	"13,344.50"	"13,344.50"	0
16-Jul-15	"13,344.50"	"13,344.50"	"13,344.50"	"13,344.50"	0
